Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
garden-scent-beekman,Garden Scent Beekman,"<meta charset=""utf-8"">
<p><span>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce dignissim lobortis facilisis. Nullam eget egestas diam. Ut a nibh mauris. Morbi interdum ultrices sodales. Quisque dictum elementum libero vel luctus. Nullam congue dui nec tortor ultricies, id sodales urna vehicula. Nunc in nisi condimentum arcu consectetur consequat eget vitae leo. Nunc id auctor arcu. Donec nisl nisl, tristique quis enim et, placerat ultrices dolor. Cras malesuada erat a lacinia lobortis.</span></p>
<meta charset=""utf-8"">
<p><span>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce dignissim lobortis facilisis. Nullam eget egestas diam. Ut a nibh mauris. Morbi interdum ultrices sodales. Quisque dictum elementum libero vel luctus. Nullam congue dui nec tortor ultricies, id sodales urna vehicula. Nunc in nisi condimentum arcu consectetur consequat eget vitae leo. Nunc id auctor arcu. Donec nisl nisl, tristique quis enim et, placerat ultrices dolor. Cras malesuada erat a lacinia lobortis.</span></p>",hy-course,"",yellow,true,Title,Default Title,,,,,GRE-SMA,0,shopify,75,deny,manual,13.00,,true,false,"",https://cdn.shopify.com/s/files/1/0093/0070/5327/products/trzcacak-rs-vegetable-garden-png-1376623.png?v=1568594091,1,,false,,,,,,,,,,,,,,,,,kg,,
rose-pedals-blist,Rose Pedals Blist,"<meta charset=""utf-8""><span>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce dignissim lobortis facilisis. Nullam eget egestas diam. Ut a nibh mauris. Morbi interdum ultrices sodales. Quisque dictum elementum libero vel luctus. Nullam congue dui nec tortor ultricies, id sodales urna vehicula. </span>",hy-course,"",pink,true,Title,Default Title,,,,,PIN-SMA,0,shopify,55,deny,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0093/0070/5327/products/kisspng-candle-wax-fragrance-candle-5-b-176-f-9-bd-6-e-189-4572350915282625558802-copy-3.png?v=1568594407,1,,false,,,,,,,,,,,,,,,,,kg,,
pumpkin-spice-candle,Pumpkin Spice Candle,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce dignissim lobortis facilisis. Nullam eget egestas diam. Ut a nibh mauris. Morbi interdum ultrices sodales. Quisque dictum elementum libero vel luctus. Nullam congue dui nec tortor ultricies, id sodales urna vehicula. Nunc in nisi condimentum arcu consectetur consequat eget vitae leo. Nunc id auctor arcu. Donec nisl nisl, tristique quis enim et, placerat ultrices dolor. Cras malesuada erat a lacinia lobortis.",hy-course,"",pink,true,Title,Default Title,,,,,PIN-SMA,0,shopify,60,deny,manual,13.00,,true,false,"",https://cdn.shopify.com/s/files/1/0093/0070/5327/products/trzcacak-rs-lit-candle-png-909128.png?v=1568594636,1,,false,,,,,,,,,,,,,,,,,kg,,
blue-island,Blue Island,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce dignissim lobortis facilisis. Nullam eget egestas diam. Ut a nibh mauris. Morbi interdum ultrices sodales. Quisque dictum elementum libero vel luctus. Nullam congue dui nec tortor ultricies, id sodales urna vehicula. Nunc in nisi condimentum arcu consectetur consequat eget vitae leo. Nunc id auctor arcu. Donec nisl nisl, tristique quis enim et, placerat ultrices dolor. Cras malesuada erat a lacinia lobortis.",hy-course,"",blue,true,Title,Default Title,,,,,BLU-LRG,0,shopify,50,deny,manual,22.00,,true,true,"",https://cdn.shopify.com/s/files/1/0093/0070/5327/products/blue-island.png?v=1568594702,1,,false,,,,,,,,,,,,,,,,,kg,,
peony-george-edi,Peony George & EDI,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce dignissim lobortis facilisis. Nullam eget egestas diam. Ut a nibh mauris. Morbi interdum ultrices sodales. Quisque dictum elementum libero vel luctus. Nullam congue dui nec tortor ultricies, id sodales urna vehicula. Nunc in nisi condimentum arcu consectetur consequat eget vitae leo. Nunc id auctor arcu. Donec nisl nisl, tristique quis enim et, placerat ultrices dolor. Cras malesuada erat a lacinia lobortis.",hy-course,"",white,true,Title,Default Title,,,,,WHT-SMA,0,shopify,85,deny,manual,15.00,,true,false,"",https://cdn.shopify.com/s/files/1/0093/0070/5327/products/george-edi-classic-range-candle-peony.png?v=1568594773,1,,false,,,,,,,,,,,,,,,,,kg,,
sweet-grapefruit,Sweet Grapefruit,"
<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce dignissim lobortis facilisis. Nullam eget egestas diam. Ut a nibh mauris. Morbi interdum ultrices sodales. Quisque dictum elementum libero vel luctus. Nullam congue dui nec tortor ultricies, id sodales urna vehicula. Nunc in nisi condimentum arcu consectetur consequat eget vitae leo. Nunc id auctor arcu. Donec nisl nisl, tristique quis enim et, placerat ultrices dolor. Cras malesuada erat a lacinia lobortis.</p>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce dignissim lobortis facilisis. Nullam eget egestas diam. Ut a nibh mauris. Morbi interdum ultrices sodales. Quisque dictum elementum libero vel.</p>",hy-course,"",yellow,true,Title,Default Title,,,,,YLW-SMA,0,shopify,55,deny,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0093/0070/5327/products/trzcacak-rs-grapefruit-png-929580.png?v=1568594847,1,,false,,,,,,,,,,,,,,,,,kg,,
velvetwoods-yankee,Velvetwoods Yankee,"<meta charset=""utf-8"">
<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sapien nisi, lobortis mattis leo nec, venenatis ornare dui. Quisque sodales eu nisi sed porta. Ut mi sapien, consequat a tempus sit amet, condimentum vel enim. Phasellus in dui vitae turpis interdum egestas. Vivamus tristique et velit quis mollis. Aenean tempor sapien ut sagittis finibus. In tincidunt arcu risus, sed euismod dolor pulvinar nec. Aenean eu pharetra quam. Proin vitae lectus enim. Pellentesque eget posuere purus, finibus sagittis est. Etiam vitae sodales nisi.</p>",hy-course,"",white,true,Title,Default Title,,,,,WHT-SMA,0,shopify,60,deny,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0093/0070/5327/products/YANKEE.png?v=1568687882,1,,false,,,,,,,,,,,,,,,,,kg,,
pink-coral-anomatic,Pink Coral Anomatic,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sapien nisi, lobortis mattis leo nec, venenatis ornare dui. Quisque sodales eu nisi sed porta. Ut mi sapien, consequat a tempus sit amet, condimentum vel enim. Phasellus in dui vitae turpis interdum egestas. Vivamus tristique et velit quis mollis. Aenean tempor sapien ut sagittis finibus. In tincidunt arcu risus, sed euismod dolor pulvinar nec. Aenean eu pharetra quam. Proin vitae lectus enim. Pellentesque eget posuere purus, finibus sagittis est. Etiam vitae sodales nisi.</p>


<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sapien nisi, lobortis mattis leo nec, venenatis ornare dui. Quisque sodales eu nisi sed porta. Ut mi sapien, consequat a tempus sit amet, condimentum vel enim. Phasellus in dui vitae turpis interdum egestas. Vivamus tristique et velit quis mollis. Aenean tempor sapien ut sagittis finibus. In tincidunt arcu risus, sed euismod dolor pulvinar nec. Aenean eu pharetra quam. Proin vitae lectus enim. Pellentesque eget posuere purus, finibus sagittis est. Etiam vitae sodales nisi.</p>",hy-course,"",pink,true,Title,Default Title,,,,,PNK-LRG,0,shopify,55,deny,manual,16.00,,true,true,"",https://cdn.shopify.com/s/files/1/0093/0070/5327/products/PINK-CORAL.png?v=1568687988,1,,false,,,,,,,,,,,,,,,,,kg,,
yankee-collection,Yankee Collection,"<meta charset=""utf-8"">
<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sapien nisi, lobortis mattis leo nec, venenatis ornare dui. Quisque sodales eu nisi sed porta. Ut mi sapien, consequat a tempus sit amet, condimentum vel enim. Phasellus in dui vitae turpis interdum egestas. </p>",hy-course,"",red,true,Title,Default Title,,,,,RED-MLT,0,shopify,25,deny,manual,35.00,,true,true,"",https://cdn.shopify.com/s/files/1/0093/0070/5327/products/YANKEE-3-CANDLES.png?v=1568688201,1,,false,,,,,,,,,,,,,,,,,kg,,
pinot-gris-candle,Pinot Gris Candle,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sapien nisi, lobortis mattis leo nec, venenatis ornare dui. Quisque sodales eu nisi sed porta. Ut mi sapien, consequat a tempus sit amet, condimentum vel enim. Phasellus in dui vitae turpis interdum egestas.</p>
<p>Vivamus tristique et velit quis mollis. Aenean tempor sapien ut sagittis finibus. In tincidunt arcu risus, sed euismod dolor pulvinar nec. Aenean eu pharetra quam. Proin vitae lectus enim. Pellentesque eget posuere purus, finibus sagittis est. Etiam vitae sodales nisi.</p>",hy-course,"",purple,true,Title,Default Title,,,,,PRP-SMA,0,shopify,30,deny,manual,22.00,,true,true,"",https://cdn.shopify.com/s/files/1/0093/0070/5327/products/PINOT-GRIS.png?v=1568688542,1,,false,,,,,,,,,,,,,,,,,kg,,
rituals-candle,Rituals Candle,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sapien nisi, lobortis mattis leo nec, venenatis ornare dui. Quisque sodales eu nisi sed porta. Ut mi sapien, consequat a tempus sit amet, condimentum vel enim. Phasellus in dui vitae turpis interdum egestas. Vivamus tristique et velit quis mollis. Aenean tempor sapien ut sagittis finibus. In tincidunt arcu risus, sed euismod dolor pulvinar nec. Aenean eu pharetra quam. Proin vitae lectus enim. Pellentesque eget posuere purus, finibus sagittis est. Etiam vitae sodales nisi.</p>",hy-course,"",blue,true,Title,Default Title,,,,,BLK-SMA,0,shopify,50,deny,manual,22.00,,true,true,"",https://cdn.shopify.com/s/files/1/0093/0070/5327/products/RITUALS-CANDLE.png?v=1568688645,1,,false,,,,,,,,,,,,,,,,,kg,,
black-magic,Black Magic,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sapien nisi, lobortis mattis leo nec, venenatis ornare dui. Quisque sodales eu nisi sed porta. Ut mi sapien, consequat a tempus sit amet, condimentum vel enim. Phasellus in dui vitae turpis interdum egestas. Vivamus tristique et velit quis mollis.</p>
<p>Aenean tempor sapien ut sagittis finibus. In tincidunt arcu risus, sed euismod dolor pulvinar nec. Aenean eu pharetra quam. Proin vitae lectus enim. Pellentesque eget posuere purus, finibus sagittis est. Etiam vitae sodales nisi.</p>",hy-course,"",black,true,Title,Default Title,,,,,BLK-SMA,0,shopify,30,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/0093/0070/5327/products/BLACK-MAGIC.png?v=1568688764,1,,false,,,,,,,,,,,,,,,,,kg,,
